STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,MIGRATION_TYPE,Entry category,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2014,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2015,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2016,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2017,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2018,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2020,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUT,Austria,A,Annual,MIG_FLW,Migration flows by category,WHM,Working holiday makers,PS,Persons,2023,,0,,A,Normal value,0,Units,1,One
